ds,yhat,yhat_lower,yhat_upper
2017-01-28,20.180137788630276,-37.69999178973202,83.33302031472957
2017-01-29,31.107509399320953,-31.223619701926726,90.84430728401591
2017-01-30,73.85857703028182,16.25795941122643,132.34682374569422
2017-01-31,73.07661997915046,10.649256806880292,135.64620564473773
2017-02-01,69.66751042348244,7.984717995736481,130.41042464738882
2017-02-02,63.67737745958505,2.2736797260171686,125.63866303171169
2017-02-03,60.878148461526216,-2.9512197700270706,123.23197024709823
2017-02-04,25.977867271077294,-33.56741089082781,84.77602364007487
2017-02-05,38.32328490602054,-22.580059597296245,103.68584676307235
2017-02-06,82.29602858106158,21.264461791653964,145.99682366138546
2017-02-07,82.50383102250554,21.930459345258626,143.85853349740694
2017-02-08,79.83640210809199,19.544111796853667,138.46085562651936
2017-02-09,74.3151447958125,16.346665569745582,133.38840867873066
2017-02-10,71.70702633284345,6.0227444451208285,133.11995392006708
2017-02-11,36.72515663133705,-24.503903550208072,95.88626036360407
2017-02-12,48.73076853430649,-17.577260847122208,105.66959451176145
2017-02-13,92.12849857765973,26.13827287552443,152.02017233778966
2017-02-14,91.55648644988277,33.063243347119744,156.30931245532193
2017-02-15,87.931481928343,24.680989699148785,148.8337234276651
2017-02-16,81.32538779745425,22.805658175316484,145.6694742899511
2017-02-17,77.5492424793845,12.855335056543845,138.77106636373128
2017-02-18,41.36160503490689,-20.185033429086264,97.89879507989754
2017-02-19,52.16891099550745,-7.71499456234866,115.85263709212494
2017-02-20,94.4191848006792,27.055870085133122,156.25995592184108
2017-02-21,92.79067543425964,27.888438128907673,155.9419894231381
2017-02-22,88.23564805435643,27.827715064818115,147.25895594435946
2017-02-23,80.85579852261257,20.940275422150197,140.32767612193888
2017-02-24,76.48532628656184,15.115586097015562,138.81614592738157
2017-02-25,39.90585389595017,-23.299352640209847,99.29901328092178
2017-02-26,50.52477068920676,-11.827198482678053,107.3037608090796
2017-02-27,92.79040818156459,30.417930524086128,156.40131871071998
2017-02-28,91.37359883137904,27.533007790939436,150.75976905923528
2017-03-01,87.21184885991214,25.842716263163414,149.69225168126667
2017-03-02,80.38537356399205,16.192292494473154,136.78648307686018
2017-03-03,76.70100629535887,15.671125162924746,138.96311689914148
2017-03-04,40.90093735079143,-23.282165656195748,101.47556870394911
2017-03-05,52.36383142549331,-9.118412625326888,113.57744435491031
2017-03-06,95.49967707076783,34.7852034338398,153.92048624028442
2017-03-07,94.93989111271475,32.84949381575398,151.4451447490526
2017-03-08,91.58285745844037,29.60395995046821,151.38800339206162
2017-03-09,85.47130591087657,25.374734490706096,147.83252048600133
2017-03-10,82.37749929405501,19.84710595544277,147.09697056731488
2017-03-11,47.01314493227967,-9.496536014862572,111.20485159033747
2017-03-12,58.73154281260866,-4.461564049183937,120.99902801110998
2017-03-13,101.92646152166193,41.54111431668474,158.39449379410232
2017-03-14,101.21339432275764,34.277654829110226,158.40857389007135
2017-03-15,97.48504603569113,36.17796290252266,160.64580825657282
2017-03-16,90.7857543181104,30.372022067378197,153.49831401812773
2017-03-17,86.896654230775,25.12875536936553,151.71060616235425
2017-03-18,50.545336008902154,-13.0820706614778,113.41272626703972
2017-03-19,61.107518480446146,-3.4938591780383224,121.76891297089905
2017-03-20,103.00207712394105,39.089185371705476,166.97770699594082
2017-03-21,100.88094733908059,39.398740493052244,165.35529588794307
2017-03-22,95.67409195124718,30.84472971509,157.0001172940928
2017-03-23,87.46595969748314,23.413511879307876,151.4043476661178
2017-03-24,82.07943485102129,20.42583110054012,141.8212728122119
2017-03-25,44.284235483852015,-17.473257020245985,103.70522099702437
2017-03-26,53.497322349872434,-5.839901212660878,113.12339436938613
2017-03-27,94.17669665813457,33.120006140460674,157.33572362038134
2017-03-28,91.01014510645247,29.53797209216336,153.27812286457825
2017-03-29,84.95915633541894,21.34407676196053,144.8976288328969
2017-03-30,76.13446704594367,12.511100220806487,133.1245954519151
2017-03-31,70.37926462959904,5.606815473659736,129.5085321568837
2017-04-01,32.477025274461774,-31.003023847322723,94.31740557048063
2017-04-02,41.8515647993772,-18.177512152969975,101.34927907396116
2017-04-03,82.96068936670103,20.297758136527605,144.6725450115936
2017-04-04,80.48500664751283,17.24353220330911,137.36286389908125
2017-04-05,75.37211715986203,11.750636815737284,137.91003675979897
2017-04-06,67.71263306648704,10.274107585646409,126.91225944636537
2017-04-07,63.32403443591385,0.09109603114073128,121.83132905366645
2017-04-08,26.959319432049405,-32.0898567117219,89.69584749215662
2017-04-09,38.00799864507539,-25.28271623442795,101.83760211962446
2017-04-10,80.89078981478875,16.26884354644011,143.36899884194858
2017-04-11,80.24953984560966,14.828836120110173,140.85695136688724
2017-04-12,76.99255844714244,14.131058530583092,140.30203058466734
2017-04-13,71.17177472843598,12.221032460124015,127.98078172262106
2017-04-14,68.56769138871559,6.8753128611889744,128.81951963828323
2017-04-15,33.89905902128893,-26.62314369307933,95.51610490873885
2017-04-16,46.52479014605435,-17.674778270065215,108.34000335750669
2017-04-17,90.83944143898164,31.263261905154394,155.64248652265232
2017-04-18,91.46376840775896,31.934159993042705,151.8283736319596
2017-04-19,89.29051911400019,30.422458058569813,150.5442043659341
2017-04-20,84.36186627125294,24.100531163315342,142.4709611259626
2017-04-21,82.45444633006558,21.230612739756204,143.8233613832265
2017-04-22,48.28892844648355,-12.568301978904799,109.56791439599634
2017-04-23,61.23163878316335,-0.3046854665135046,121.74624541430019
2017-04-24,105.68958113830291,44.94371879278184,171.55275637994748
